Date(UTC),Gas Fees (Wei),Gas Fees(Ethereum),Ethereum(USD),Gas Price (USD)
9-19-2019,29790611153,2.98E-08,221.01,6.58E-06
9-20-2019,28547468411,2.85E-08,218.26,6.23E-06
9-21-2019,23160146334,2.32E-08,215.1,4.98E-06
9-22-2019,20620710292,2.06E-08,211.23,4.36E-06
9-23-2019,25273983935,2.53E-08,200.97,5.08E-06
9-24-2019,29005803910,2.90E-08,166.47,4.83E-06
9-25-2019,34523331716,3.45E-08,170.22,5.88E-06
9-26-2019,24844463848,2.48E-08,166.06,4.13E-06
9-27-2019,25309113745,2.53E-08,174.39,4.41E-06
9-28-2019,22571983572,2.26E-08,174.14,3.93E-06
9-29-2019,23509644437,2.35E-08,169.68,3.99E-06
9-30-2019,21698036057,2.17E-08,181.47,3.94E-06
10-01-2019,14792630237,1.48E-08,176.39,2.61E-06
10-02-2019,14784178819,1.48E-08,181.06,2.68E-06
10-03-2019,16416641528,1.64E-08,175.17,2.88E-06
10-04-2019,16620612726,1.66E-08,176.21,2.93E-06
10-05-2019,15308020009,1.53E-08,176.9,2.71E-06
10-06-2019,13863525470,1.39E-08,170.26,2.36E-06
10-07-2019,14672557297,1.47E-08,180.49,2.65E-06
10-08-2019,14792097829,1.48E-08,181.09,2.68E-06
10-09-2019,16947877071,1.69E-08,193.43,3.28E-06
10-10-2019,15841678706,1.58E-08,191.73,3.04E-06
10-11-2019,15370015405,1.54E-08,180.94,2.78E-06
10-12-2019,14536181143,1.45E-08,180.09,2.62E-06
10-13-2019,15214219663,1.52E-08,181.37,2.76E-06
10-14-2019,15219524599,1.52E-08,186.96,2.85E-06
10-15-2019,15110469830,1.51E-08,180.74,2.73E-06
10-16-2019,14449734443,1.44E-08,174.76,2.53E-06
10-17-2019,14111516782,1.41E-08,177.5,2.50E-06
10-18-2019,14295776270,1.43E-08,173.29,2.48E-06
10-19-2019,14181262788,1.42E-08,172.37,2.44E-06
10-20-2019,15579342674,1.56E-08,175.84,2.74E-06
10-21-2019,15275793403,1.53E-08,174.64,2.67E-06
10-22-2019,16354366795,1.64E-08,171.64,2.81E-06
10-23-2019,18828418999,1.88E-08,162.72,3.06E-06
10-24-2019,15247927380,1.52E-08,161.07,2.46E-06
10-25-2019,16022315848,1.60E-08,181.79,2.91E-06
10-26-2019,16003775608,1.60E-08,180.16,2.88E-06
10-27-2019,14662908845,1.47E-08,184.34,2.70E-06
10-28-2019,16063415762,1.61E-08,182.09,2.92E-06
10-29-2019,16275212916,1.63E-08,191.11,3.11E-06
10-30-2019,16158350778,1.62E-08,183.52,2.97E-06
10-31-2019,15988367551,1.60E-08,182.59,2.92E-06
11-01-2019,15357755865,1.54E-08,183.4,2.82E-06
11-02-2019,14245599208,1.42E-08,183.45,2.61E-06
11-03-2019,14596844718,1.46E-08,181.92,2.66E-06
11-04-2019,15086847398,1.51E-08,186.49,2.81E-06
11-05-2019,14471734891,1.45E-08,188.96,2.73E-06
11-06-2019,13890291945,1.39E-08,191.24,2.66E-06
11-07-2019,17205356282,1.72E-08,186.54,3.21E-06
11-08-2019,14143518466,1.41E-08,183.85,2.60E-06
11-09-2019,14334783126,1.43E-08,185.11,2.65E-06
11-10-2019,13888122126,1.39E-08,189.29,2.63E-06
11-11-2019,14764625146,1.48E-08,184.91,2.73E-06
11-12-2019,14527702801,1.45E-08,187.09,2.72E-06
11-13-2019,14942230244,1.49E-08,188.1,2.81E-06
11-14-2019,15987898238,1.60E-08,184.68,2.95E-06
11-15-2019,14426485520,1.44E-08,180.03,2.60E-06
11-16-2019,13100698613,1.31E-08,182.61,2.39E-06
11-17-2019,13599253833,1.36E-08,184.2,2.50E-06
11-18-2019,21613413943,2.16E-08,178.23,3.85E-06
11-19-2019,14275368805,1.43E-08,175.96,2.51E-06
11-20-2019,15039835571,1.50E-08,174.68,2.63E-06
11-21-2019,17827294565,1.78E-08,161.18,2.87E-06
11-22-2019,23870653045,2.39E-08,150.22,3.59E-06
11-23-2019,13470958455,1.35E-08,152.42,2.05E-06
11-24-2019,13759387353,1.38E-08,140.42,1.93E-06
11-25-2019,20123981060,2.01E-08,146.22,2.94E-06
11-26-2019,16321234587,1.63E-08,148,2.42E-06
11-27-2019,14460479877,1.45E-08,153.05,2.21E-06
11-28-2019,14616747830,1.46E-08,151.31,2.21E-06
11-29-2019,13456025432,1.35E-08,154.94,2.08E-06
11-30-2019,13169970955,1.32E-08,152.2,2.00E-06
12-01-2019,16157752499,1.62E-08,151.36,2.45E-06
12-02-2019,15214773817,1.52E-08,149.36,2.27E-06
12-03-2019,13985120429,1.40E-08,147.73,2.07E-06
12-04-2019,13990237704,1.40E-08,145.73,2.04E-06
12-05-2019,13294192486,1.33E-08,148.32,1.97E-06
12-06-2019,13469631277,1.35E-08,149.06,2.01E-06
12-07-2019,12143075170,1.21E-08,147.79,1.79E-06
12-08-2019,9619578683,9.62E-09,151.06,1.45E-06
12-09-2019,11586206259,1.16E-08,147.68,1.71E-06
12-10-2019,12196873088,1.22E-08,145.92,1.78E-06
12-11-2019,13193611413,1.32E-08,143.61,1.89E-06
12-12-2019,12094101016,1.21E-08,145.05,1.75E-06
12-13-2019,12025417709,1.20E-08,144.97,1.74E-06
12-14-2019,11649625168,1.16E-08,142.18,1.66E-06
12-15-2019,12379589133,1.24E-08,142.74,1.77E-06
12-16-2019,13569145225,1.36E-08,132.68,1.80E-06
12-17-2019,15434108069,1.54E-08,122.11,1.88E-06
12-18-2019,16536921861,1.65E-08,133.07,2.20E-06
12-19-2019,12757474902,1.28E-08,128.31,1.64E-06
12-20-2019,12994689673,1.30E-08,128.58,1.67E-06
12-21-2019,11587579022,1.16E-08,127.52,1.48E-06
12-22-2019,11038288256,1.10E-08,132.56,1.46E-06
12-23-2019,12723118611,1.27E-08,128.1,1.63E-06
12-24-2019,11744086945,1.17E-08,128.02,1.50E-06
12-25-2019,11924668484,1.19E-08,125.1,1.49E-06
12-26-2019,11931708420,1.19E-08,125.73,1.50E-06
12-27-2019,12102235247,1.21E-08,126.5,1.53E-06
12-28-2019,11826353778,1.18E-08,128.21,1.52E-06
12-29-2019,11250754288,1.13E-08,134.55,1.51E-06
12-30-2019,11988751334,1.20E-08,131.41,1.58E-06
12-31-2019,14031976089,1.40E-08,128.91,1.81E-06
01-01-2020,11664054350,1.17E-08,130.6,1.52E-06
01-02-2020,10566318855,1.06E-08,127.18,1.34E-06
01-03-2020,11494907509,1.15E-08,134.25,1.54E-06
01-04-2020,9665112896,9.67E-09,134.33,1.30E-06
01-05-2020,9764148415,9.76E-09,135.44,1.32E-06
01-06-2020,10997805904,1.10E-08,144.28,1.59E-06
01-07-2020,10476977187,1.05E-08,143.18,1.50E-06
01-08-2020,11402214882,1.14E-08,140.66,1.60E-06
01-09-2020,10881434074,1.09E-08,137.9,1.50E-06
01-10-2020,12318556369,1.23E-08,144.88,1.78E-06
01-11-2020,11171702430,1.12E-08,142.69,1.59E-06
01-12-2020,10928063165,1.09E-08,146.55,1.60E-06
1-13-2020,11068867087,1.11E-08,143.7,1.59E-06
1-14-2020,15755682033,1.58E-08,165.86,2.61E-06
1-15-2020,11175554900,1.12E-08,166.22,1.86E-06
1-16-2020,9897575973,9.90E-09,164.09,1.62E-06
1-17-2020,10666145544,1.07E-08,169.74,1.81E-06
1-18-2020,10821750721,1.08E-08,174,1.88E-06
1-19-2020,10370811614,1.04E-08,166.94,1.73E-06
1-20-2020,9628463648,9.63E-09,166.77,1.61E-06
1-21-2020,9526614167,9.53E-09,169.36,1.61E-06
1-22-2020,9941370322,9.94E-09,167.79,1.67E-06
1-23-2020,8959850620,8.96E-09,162.63,1.46E-06
1-24-2020,8301467582,8.30E-09,162.45,1.35E-06
1-25-2020,7514852406,7.51E-09,160.36,1.21E-06
1-26-2020,7320700832,7.32E-09,167.72,1.23E-06
1-27-2020,8606813919,8.61E-09,169.95,1.46E-06
1-28-2020,8449745457,8.45E-09,176,1.49E-06
1-29-2020,8556877569,8.56E-09,173.55,1.49E-06
1-30-2020,9069894645,9.07E-09,184.47,1.67E-06
1-31-2020,8965856518,8.97E-09,179.76,1.61E-06
02-01-2020,9214472279,9.21E-09,183.66,1.69E-06
02-02-2020,9053826022,9.05E-09,188.39,1.71E-06
02-03-2020,9835898300,9.84E-09,189.77,1.87E-06
02-04-2020,11701932888,1.17E-08,188.44,2.21E-06
02-05-2020,12407461484,1.24E-08,203.85,2.53E-06
02-06-2020,12978312165,1.30E-08,212.88,2.76E-06
02-07-2020,13091705996,1.31E-08,223.14,2.92E-06
02-08-2020,11679918227,1.17E-08,223.2,2.61E-06
02-09-2020,11228783936,1.12E-08,228.6,2.57E-06
02-10-2020,11353255565,1.14E-08,223.11,2.53E-06
02-11-2020,11193602823,1.12E-08,237.8,2.66E-06
02-12-2020,12709993893,1.27E-08,266.13,3.38E-06
2-13-2020,13279071654,1.33E-08,268.56,3.57E-06
2-14-2020,12617650524,1.26E-08,285.79,3.61E-06
2-15-2020,13115693731,1.31E-08,264.85,3.47E-06
2-16-2020,12554000920,1.26E-08,259.43,3.26E-06
2-17-2020,11971133911,1.20E-08,268.07,3.21E-06
2-18-2020,11188045875,1.12E-08,282.92,3.17E-06
2-19-2020,12083070512,1.21E-08,258.72,3.13E-06
2-20-2020,12008669668,1.20E-08,257.7,3.09E-06
2-21-2020,9495219870,9.50E-09,265.6,2.52E-06
2-22-2020,10362297210,1.04E-08,262.31,2.72E-06
2-23-2020,12958605117,1.30E-08,275.64,3.57E-06
2-24-2020,12107326473,1.21E-08,265.74,3.22E-06
2-25-2020,11691532540,1.17E-08,246.84,2.89E-06
2-26-2020,14289989019,1.43E-08,223.73,3.20E-06
2-27-2020,11864912418,1.19E-08,227.57,2.70E-06
2-28-2020,11792525152,1.18E-08,227.56,2.68E-06
2-29-2020,9999559185,1.00E-08,217.68,2.18E-06
03-01-2020,10366775236,1.04E-08,218.02,2.26E-06
03-02-2020,10060971157,1.01E-08,232.09,2.34E-06
03-03-2020,10710921879,1.07E-08,223.77,2.40E-06
03-04-2020,10913931285,1.09E-08,224.68,2.45E-06
03-05-2020,11518999227,1.15E-08,228.7,2.63E-06
03-06-2020,11201545592,1.12E-08,245.76,2.75E-06
03-07-2020,10988477092,1.10E-08,237.78,2.61E-06
03-08-2020,13029367486,1.30E-08,199.68,2.60E-06
03-09-2020,14200494445,1.42E-08,203.08,2.88E-06
03-10-2020,11528169360,1.15E-08,200.62,2.31E-06
03-11-2020,12884305108,1.29E-08,194.86,2.51E-06
03-12-2020,77903244661,7.79E-08,109.78,8.55E-06
3-13-2020,84761822515,8.48E-08,135.44,1.15E-05
3-14-2020,16662648149,1.67E-08,122.58,2.04E-06
3-15-2020,14364979897,1.44E-08,123.53,1.77E-06
3-16-2020,29714620709,2.97E-08,111.32,3.31E-06
3-17-2020,18731740624,1.87E-08,116.3,2.18E-06
3-18-2020,15707758551,1.57E-08,118.62,1.86E-06
3-19-2020,18322233968,1.83E-08,136.7,2.50E-06
3-20-2020,16360326781,1.64E-08,133.4,2.18E-06
3-21-2020,12414614632,1.24E-08,132.72,1.65E-06
3-22-2020,12942212470,1.29E-08,122.44,1.58E-06
3-23-2020,14465400762,1.45E-08,136.74,1.98E-06
3-24-2020,13687447647,1.37E-08,139.07,1.90E-06
3-25-2020,13756761814,1.38E-08,136.28,1.87E-06
3-26-2020,13022719834,1.30E-08,138.97,1.81E-06
3-27-2020,12546794673,1.25E-08,131.51,1.65E-06
3-28-2020,11413783523,1.14E-08,131.34,1.50E-06
3-29-2020,11020301161,1.10E-08,124.55,1.37E-06
3-30-2020,11884805218,1.19E-08,132.31,1.57E-06
3-31-2020,13067204139,1.31E-08,133.17,1.74E-06
04-01-2020,12158641023,1.22E-08,136.05,1.65E-06
04-02-2020,13091171982,1.31E-08,141.59,1.85E-06
04-03-2020,12546736213,1.25E-08,141.45,1.77E-06
04-04-2020,10643758163,1.06E-08,144.49,1.54E-06
04-05-2020,10421896817,1.04E-08,142.88,1.49E-06
04-06-2020,14386395350,1.44E-08,171.62,2.47E-06
04-07-2020,13013528020,1.30E-08,164.66,2.14E-06
04-08-2020,11576580760,1.16E-08,173.41,2.01E-06
04-09-2020,12277136032,1.23E-08,169.92,2.09E-06
04-10-2020,12269003782,1.23E-08,158.12,1.94E-06
04-11-2020,11327484697,1.13E-08,158.67,1.80E-06
04-12-2020,9800432922,9.80E-09,158.75,1.56E-06
4-13-2020,11939777888,1.19E-08,156.82,1.87E-06
4-14-2020,12300384022,1.23E-08,158.6,1.95E-06
4-15-2020,11635342378,1.16E-08,152.85,1.78E-06
4-16-2020,15064682211,1.51E-08,172.58,2.60E-06
4-17-2020,12248271015,1.22E-08,170.98,2.09E-06
4-18-2020,12700922618,1.27E-08,187.81,2.39E-06
4-19-2020,12031541144,1.20E-08,180.34,2.17E-06
4-20-2020,13770276031,1.38E-08,170.6,2.35E-06
4-21-2020,13970900436,1.40E-08,171,2.39E-06
4-22-2020,14191692798,1.42E-08,183.04,2.60E-06
4-23-2020,14371184956,1.44E-08,185.68,2.67E-06
4-24-2020,13771090303,1.38E-08,187.7,2.58E-06
4-25-2020,12538831783,1.25E-08,194.39,2.44E-06
4-26-2020,13439926391,1.34E-08,197.78,2.66E-06
4-27-2020,13918385493,1.39E-08,196.78,2.74E-06
4-28-2020,13052985766,1.31E-08,196.86,2.57E-06
4-29-2020,18452757606,1.85E-08,215.55,3.98E-06
4-30-2020,23829583393,2.38E-08,206.27,4.92E-06
05-01-2020,13888475283,1.39E-08,211.98,2.94E-06
05-02-2020,11389301751,1.14E-08,214.15,2.44E-06
05-03-2020,12521236484,1.25E-08,210.06,2.63E-06
05-04-2020,14983023765,1.50E-08,206.94,3.10E-06
05-05-2020,15502345363,1.55E-08,205.48,3.19E-06
05-06-2020,17933308369,1.79E-08,199.1,3.57E-06
05-07-2020,20866831524,2.09E-08,212.37,4.43E-06
05-08-2020,20580766613,2.06E-08,211.54,4.35E-06
05-09-2020,17823163632,1.78E-08,210.1,3.74E-06
05-10-2020,30507432603,3.05E-08,187.84,5.73E-06
05-11-2020,24022502727,2.40E-08,185.88,4.47E-06
05-12-2020,27066815386,2.71E-08,189.9,5.14E-06
5-13-2020,32980999573,3.30E-08,199.85,6.59E-06
5-14-2020,41116263713,4.11E-08,203.32,8.36E-06
5-15-2020,32000157331,3.20E-08,194.65,6.23E-06
5-16-2020,25477191550,2.55E-08,200.51,5.11E-06
5-17-2020,27103939904,2.71E-08,206.98,5.61E-06
5-18-2020,36508693750,3.65E-08,214.73,7.84E-06
5-19-2020,33240461791,3.32E-08,214.63,7.13E-06
5-20-2020,36510632877,3.65E-08,209.85,7.66E-06
5-21-2020,48851382307,4.89E-08,198.56,9.70E-06
5-22-2020,35001330711,3.50E-08,207.28,7.26E-06
5-23-2020,22171704727,2.22E-08,206.7,4.58E-06
5-24-2020,29040279475,2.90E-08,199.78,5.80E-06
5-25-2020,38094676834,3.81E-08,204.1,7.78E-06
5-26-2020,37860437126,3.79E-08,201.03,7.61E-06
5-27-2020,42827563449,4.28E-08,208.34,8.92E-06
5-28-2020,39750197752,3.98E-08,220.3,8.76E-06
5-29-2020,34983980235,3.50E-08,220.56,7.72E-06
5-30-2020,33659377964,3.37E-08,243.57,8.20E-06
5-31-2020,28385719806,2.84E-08,231.73,6.58E-06
06-01-2020,32379485381,3.24E-08,248.21,8.04E-06
06-02-2020,36613726636,3.66E-08,237.81,8.71E-06
06-03-2020,29769950061,2.98E-08,244.56,7.28E-06
06-04-2020,31888384257,3.19E-08,243.35,7.76E-06
06-05-2020,32258089816,3.23E-08,240.08,7.74E-06
06-06-2020,38721024282,3.87E-08,242.08,9.37E-06
06-07-2020,40787069912,4.08E-08,244.75,9.98E-06
06-08-2020,41524824461,4.15E-08,246.47,1.02E-05
06-09-2020,37266087486,3.73E-08,244,9.09E-06
06-10-2020,5.82E+11,5.82E-07,248.01,0.000144311
06-11-2020,7.10E+11,7.10E-07,230.21,0.000163382
06-12-2020,35616566860,3.56E-08,237.54,8.46E-06
6-13-2020,29377910098,2.94E-08,238.21,7.00E-06
6-14-2020,24230716812,2.42E-08,231.61,5.61E-06
6-15-2020,43250992524,4.33E-08,230.98,9.99E-06
6-16-2020,40533137609,4.05E-08,235.35,9.54E-06
6-17-2020,42028712404,4.20E-08,233.76,9.82E-06
6-18-2020,38424496007,3.84E-08,231.24,8.89E-06
6-19-2020,39365512466,3.94E-08,228.71,9.00E-06
6-20-2020,29553002666,2.96E-08,228.89,6.76E-06
6-21-2020,29937373565,2.99E-08,227.83,6.82E-06
6-22-2020,41302954545,4.13E-08,243.3,1.00E-05
6-23-2020,45491287860,4.55E-08,243.16,1.11E-05
6-24-2020,46589720161,4.66E-08,234.56,1.09E-05
6-25-2020,42575132701,4.26E-08,232.35,9.89E-06
6-26-2020,38176707953,3.82E-08,229.46,8.76E-06
6-27-2020,36769845271,3.68E-08,220.81,8.12E-06
6-28-2020,35078209646,3.51E-08,224.99,7.89E-06
6-29-2020,39552762105,3.96E-08,227.86,9.01E-06
6-30-2020,52294541588,5.23E-08,225.58,1.18E-05
07-01-2020,47358992980,4.74E-08,231.05,1.09E-05
07-02-2020,42603951322,4.26E-08,226.49,9.65E-06
07-03-2020,44742407160,4.47E-08,225.15,1.01E-05
07-04-2020,33268484751,3.33E-08,229.34,7.63E-06
07-05-2020,31655035139,3.17E-08,228.03,7.22E-06
07-06-2020,40437764877,4.04E-08,241.76,9.78E-06
07-07-2020,40907231924,4.09E-08,239.35,9.79E-06
07-08-2020,52093643866,5.21E-08,247.11,1.29E-05
07-09-2020,47477907527,4.75E-08,242.08,1.15E-05
07-10-2020,38637254876,3.86E-08,241.21,9.32E-06
07-11-2020,33735159452,3.37E-08,239.25,8.07E-06
07-12-2020,32085351933,3.21E-08,242.84,7.79E-06
7-13-2020,50960828747,5.10E-08,239.53,1.22E-05
7-14-2020,44351239353,4.44E-08,240.44,1.07E-05
7-15-2020,51587477037,5.16E-08,238.42,1.23E-05
7-16-2020,55735259161,5.57E-08,233.61,1.30E-05
7-17-2020,58219936374,5.82E-08,232.77,1.36E-05
7-18-2020,50656559485,5.07E-08,235.84,1.19E-05
7-19-2020,54609003475,5.46E-08,239.22,1.31E-05
7-20-2020,70536742504,7.05E-08,236.16,1.67E-05
7-21-2020,75884344678,7.59E-08,245.87,1.87E-05
7-22-2020,72342074874,7.23E-08,264.32,1.91E-05
7-23-2020,81533077820,8.15E-08,275.65,2.25E-05
7-24-2020,76416250014,7.64E-08,279.6,2.14E-05
7-25-2020,82224184318,8.22E-08,305.67,2.51E-05
7-26-2020,72868554221,7.29E-08,311.47,2.27E-05
7-27-2020,96651241529,9.67E-08,322.39,3.12E-05
7-28-2020,71667637214,7.17E-08,317.47,2.28E-05
7-29-2020,74335028131,7.43E-08,318.27,2.37E-05
7-30-2020,71596140466,7.16E-08,335.25,2.40E-05
7-31-2020,78904447180,7.89E-08,346.81,2.74E-05
08-01-2020,63846952921,6.38E-08,387.41,2.47E-05
08-02-2020,79704212228,7.97E-08,371.93,2.96E-05
08-03-2020,69980285209,7.00E-08,386.1,2.70E-05
08-04-2020,59805862058,5.98E-08,389.79,2.33E-05
08-05-2020,55170121710,5.52E-08,401.12,2.21E-05
08-06-2020,60216328698,6.02E-08,395.07,2.38E-05
08-07-2020,75118872696,7.51E-08,379.57,2.85E-05
08-08-2020,68308662136,6.83E-08,397.56,2.72E-05
08-09-2020,77549796325,7.75E-08,390.28,3.03E-05
08-10-2020,1.18E+11,1.18E-07,395.84,4.68E-05
08-11-2020,1.30E+11,1.30E-07,378.94,4.93E-05
08-12-2020,2.24E+11,2.24E-07,387.19,8.66E-05
8-13-2020,2.64E+11,2.64E-07,424.97,0.000112042
8-14-2020,2.15E+11,2.15E-07,438.51,9.41E-05
8-15-2020,1.21E+11,1.21E-07,432.63,5.25E-05
8-16-2020,1.03E+11,1.03E-07,433.85,4.49E-05
8-17-2020,1.16E+11,1.16E-07,431.26,4.99E-05
8-18-2020,1.33E+11,1.33E-07,422.38,5.60E-05
8-19-2020,1.38E+11,1.38E-07,407.85,5.64E-05
8-20-2020,1.16E+11,1.16E-07,416.04,4.85E-05
8-21-2020,1.62E+11,1.62E-07,387.98,6.28E-05
8-22-2020,1.07E+11,1.07E-07,395.46,4.25E-05
8-23-2020,86163918808,8.62E-08,390.72,3.37E-05
8-24-2020,98937713405,9.89E-08,408.03,4.04E-05
8-25-2020,1.11E+11,1.11E-07,383.34,4.25E-05
8-26-2020,93103481649,9.31E-08,386.02,3.59E-05
8-27-2020,97826615038,9.78E-08,383.18,3.75E-05
8-28-2020,93087752585,9.31E-08,395.54,3.68E-05
8-29-2020,1.03E+11,1.03E-07,398.79,4.10E-05
8-30-2020,2.12E+11,2.12E-07,429.04,9.09E-05
8-31-2020,2.36E+11,2.36E-07,434.1,0.000102501
09-01-2020,4.46E+11,4.46E-07,475.81,0.000212185
09-02-2020,4.80E+11,4.80E-07,439.83,0.000211161
09-03-2020,3.91E+11,3.91E-07,382.46,0.000149668
09-04-2020,2.32E+11,2.32E-07,385.91,8.96E-05
09-05-2020,2.77E+11,2.77E-07,335.24,9.27E-05
09-06-2020,1.29E+11,1.29E-07,352.69,4.57E-05
09-07-2020,1.13E+11,1.13E-07,353.7,3.98E-05
09-08-2020,1.04E+11,1.04E-07,337.45,3.50E-05
09-09-2020,1.20E+11,1.20E-07,351.15,4.23E-05
09-10-2020,1.79E+11,1.79E-07,368.09,6.60E-05
09-11-2020,1.47E+11,1.47E-07,373.99,5.51E-05
09-12-2020,1.07E+11,1.07E-07,387.88,4.17E-05
9-13-2020,1.21E+11,1.21E-07,366.33,4.42E-05
9-14-2020,2.00E+11,2.00E-07,377.24,7.53E-05
9-15-2020,1.87E+11,1.87E-07,364.19,6.80E-05
9-16-2020,1.53E+11,1.53E-07,365.19,5.58E-05
9-17-2020,5.38E+11,5.38E-07,389.49,0.000209548
9-18-2020,3.19E+11,3.19E-07,384.66,0.000122569
9-19-2020,1.74E+11,1.74E-07,385.36,6.72E-05
9-20-2020,1.33E+11,1.33E-07,371.06,4.93E-05
9-21-2020,1.77E+11,1.77E-07,340.19,6.02E-05
9-22-2020,1.59E+11,1.59E-07,344.25,5.49E-05
9-23-2020,1.29E+11,1.29E-07,320.19,4.13E-05
9-24-2020,1.09E+11,1.09E-07,349.18,3.81E-05
9-25-2020,1.03E+11,1.03E-07,352.02,3.61E-05
9-26-2020,83509486824,8.35E-08,354.21,2.96E-05
9-27-2020,86032333679,8.60E-08,357.67,3.08E-05
9-28-2020,1.22E+11,1.22E-07,354.01,4.32E-05
9-29-2020,1.54E+11,1.54E-07,359.92,5.54E-05
9-30-2020,1.20E+11,1.20E-07,359.86,4.31E-05
10-01-2020,1.01E+11,1.01E-07,353.09,3.56E-05
10-02-2020,93806763969,9.38E-08,345.83,3.24E-05
10-03-2020,79724495395,7.97E-08,346.32,2.76E-05
10-04-2020,83002261988,8.30E-08,352.67,2.93E-05
10-05-2020,90700178586,9.07E-08,353.84,3.21E-05
10-06-2020,1.09E+11,1.09E-07,340.85,3.72E-05
10-07-2020,85972225652,8.60E-08,341.91,2.94E-05
10-08-2020,87114899986,8.71E-08,351.2,3.06E-05
10-09-2020,80387358281,8.04E-08,365.41,2.94E-05
10-10-2020,64197264627,6.42E-08,370.88,2.38E-05
10-11-2020,49653860265,4.97E-08,374.4,1.86E-05
10-12-2020,76063541206,7.61E-08,386.91,2.94E-05
10-13-2020,75080099063,7.51E-08,381.41,2.86E-05
10-14-2020,75643030426,7.56E-08,379.04,2.87E-05
10-15-2020,74178882628,7.42E-08,377.82,2.80E-05
10-16-2020,63068023041,6.31E-08,365.58,2.31E-05
10-17-2020,36291623945,3.63E-08,368.53,1.34E-05
10-18-2020,40183042347,4.02E-08,378.44,1.52E-05
10-19-2020,56873119620,5.69E-08,379.41,2.16E-05
10-20-2020,61935567910,6.19E-08,368.83,2.28E-05
10-21-2020,74178258309,7.42E-08,391.46,2.90E-05
10-22-2020,63311659678,6.33E-08,414.5,2.62E-05
10-23-2020,58483044067,5.85E-08,409.57,2.40E-05
10-24-2020,32203857762,3.22E-08,412.52,1.33E-05
10-25-2020,33050174347,3.31E-08,406.3,1.34E-05
10-26-2020,55960128939,5.60E-08,393.11,2.20E-05
10-27-2020,43438225272,4.34E-08,403.74,1.75E-05
10-28-2020,64546938423,6.45E-08,388.77,2.51E-05
10-29-2020,68638448298,6.86E-08,387.54,2.66E-05
10-30-2020,63336696249,6.33E-08,382.76,2.42E-05
10-31-2020,40821601761,4.08E-08,386.76,1.58E-05
11-01-2020,33958389367,3.40E-08,396.49,1.35E-05
11-02-2020,59556293025,5.96E-08,383.61,2.28E-05
11-03-2020,44994623512,4.50E-08,388.17,1.75E-05
11-04-2020,36929765158,3.69E-08,402.66,1.49E-05
11-05-2020,50351219255,5.04E-08,416.89,2.10E-05
11-06-2020,59743475915,5.97E-08,456.32,2.73E-05
11-07-2020,55699556300,5.57E-08,435.82,2.43E-05
11-08-2020,29270287574,2.93E-08,454.74,1.33E-05
11-09-2020,43036804081,4.30E-08,444.45,1.91E-05
11-10-2020,50067322104,5.01E-08,450.86,2.26E-05
11-11-2020,52469222811,5.25E-08,463.91,2.43E-05
11-12-2020,58433082358,5.84E-08,462.78,2.70E-05
11-13-2020,54834222262,5.48E-08,476.87,2.61E-05
11-14-2020,34540619732,3.45E-08,461.03,1.59E-05
11-15-2020,34544174003,3.45E-08,448.51,1.55E-05
11-16-2020,47985935398,4.80E-08,461.01,2.21E-05
11-17-2020,74866465876,7.49E-08,482.71,3.61E-05
11-18-2020,80394403719,8.04E-08,478.76,3.85E-05
11-19-2020,46783318521,4.68E-08,471.82,2.21E-05
11-20-2020,68357121233,6.84E-08,510.43,3.49E-05
11-21-2020,66371016498,6.64E-08,552.26,3.67E-05
11-22-2020,62695231579,6.27E-08,560.01,3.51E-05
11-23-2020,76578870525,7.66E-08,609.13,4.66E-05
11-24-2020,93649625593,9.36E-08,604.98,5.67E-05
11-25-2020,61060602390,6.11E-08,569.4,3.48E-05
11-26-2020,1.43E+11,1.43E-07,520.22,7.41E-05
11-27-2020,45168615208,4.52E-08,518.83,2.34E-05
11-28-2020,34986023055,3.50E-08,537.99,1.88E-05
11-29-2020,30780782615,3.08E-08,576,1.77E-05
11-30-2020,78983988030,7.90E-08,616.14,4.87E-05
12-01-2020,87210450983,8.72E-08,586.23,5.11E-05
12-02-2020,44017238565,4.40E-08,598.26,2.63E-05
12-03-2020,47047850997,4.70E-08,616.55,2.90E-05
12-04-2020,54133415152,5.41E-08,567.67,3.07E-05
12-05-2020,37247774997,3.72E-08,596.93,2.22E-05
12-06-2020,36457991314,3.65E-08,602.3,2.20E-05
12-07-2020,50119786947,5.01E-08,591.36,2.96E-05
12-08-2020,64453892343,6.45E-08,554.82,3.58E-05
12-09-2020,65315353811,6.53E-08,573.44,3.75E-05
12-10-2020,56230297216,5.62E-08,558.36,3.14E-05
12-11-2020,63672809905,6.37E-08,544.14,3.46E-05
12-12-2020,42794623984,4.28E-08,568.26,2.43E-05
12-13-2020,45496784769,4.55E-08,590.72,2.69E-05
12-14-2020,63655438361,6.37E-08,586.35,3.73E-05
12-15-2020,84560575140,8.46E-08,589.17,4.98E-05
12-16-2020,83601467306,8.36E-08,637.74,5.33E-05
12-17-2020,1.39E+11,1.39E-07,643.16,8.93E-05
12-18-2020,74197672209,7.42E-08,654.55,4.86E-05
12-19-2020,70165553145,7.02E-08,658.7,4.62E-05
12-20-2020,44525185130,4.45E-08,638.17,2.84E-05
12-21-2020,80001622383,8.00E-08,607.9,4.86E-05
12-22-2020,66555945514,6.66E-08,637.23,4.24E-05
12-23-2020,1.08E+11,1.08E-07,585.25,6.34E-05
